SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500365,"WELSPUN SPECIALTY SOLUTIONS LI",B,STK,37.47,37.69,36.81,37.26,37.4,37.04,419,92000,3434677,
500367,"RUBFILA INTERNATIONAL LTD.",B,STK,70.29,71.2,69.56,70.83,70.83,70.27,35,4833,340180,
500368,"Patanjali Foods Limited",A,STK,465.35,473.5,461.85,469.15,469.15,465.35,2842,103348,48438920,
500370,"SALORA INTERNATIONAL LTD.",X,STK,31.8,32.5,31.5,32,32,30.45,22,2051,65660,
500371,"SAMTEL INDIA LTD.",XT,STK,25.77,25.77,25.77,25.77,25.77,25.27,4,251,6468,
500378,"JINDAL SAW LTD.",A,STK,222.35,238.85,218.75,236.85,236.85,221.3,5687,444472,101305016,
500380,"JK LAKSHMI CEMENT LTD.",A,STK,658.25,679.9,656.7,673.15,674,656.9,435,4177,2778454,
500387,"SHREE CEMENT LTD.",A,STK,25399.05,25399.05,25110,25301.95,25280,25103.25,192,290,7314859,
500388,"SHREE KRISHNA PAPER MILLS & IN",X,STK,86,86,86,86,86,82,2,300,25800,
500389,"SILVERLINE TECHNOLOGIES LTD.",XT,STK,8.98,8.98,8.36,8.36,8.36,8.79,1433,1462046,12306143,
500400,"TATA POWER CO.LTD.",A,STK,428.05,432,424.7,427.45,427.45,427.25,13162,861948,368471366,
500402,"SPML INFRA LIMITED",B,STK,195.15,213.05,194.5,211.2,211.2,196.45,1416,88372,18172078,
500403,"SUNDRAM FASTENERS LTD.",A,STK,807,838,807,828.9,828,813.65,873,3932,3250068,
500404,"SUNFLAG IRON & STEEL CO.LTD.",B,STK,273.1,279.5,270.85,273.5,272.6,270.4,583,38329,10535660,
500405,"SUPREME PETROCHEM LTD.",A,STK,772.1,783.2,765.55,773.3,774.8,772.1,338,5246,4063750,
500407,"SWARAJ ENGINES LTD.",B,STK,4138.55,4138.55,4011,4049.2,4049.2,4093.25,330,1633,6621029,
500408,"TATA ELXSI LTD.",A,STK,4593.6,4750,4565.4,4591.55,4591.55,4593.9,5251,30052,139811062,
500410,"ACC LTD.",A,STK,1449.45,1449.45,1427.25,1431.85,1431.85,1442.9,2019,31308,44943813,
500411,"THERMAX LTD.",A,STK,4137,4169.9,4059.6,4141.2,4141.2,4120,1329,8450,34706270,
500412,"THIRUMALAI CHEMICALS LTD.",B,STK,203.45,205,199,200.6,201,202,554,21189,4265153,
500413,"THOMAS COOK (INDIA) LTD.",A,STK,110,111.79,108.11,110.94,110.94,109.31,818,75785,8400422,
500414,"TIMEX GROUP INDIA LTD.",B,STK,296.3,318,292.65,313.55,313.55,296.3,3239,342900,106064842,
500418,"TOKYO PLAST INTERNATIONAL LTD.",B,STK,94,107.65,94,107.65,107.65,89.71,677,161885,17295937,
500420,"TORRENT PHARMACEUTICALS LTD.",A,STK,4150.05,4192.8,4126.5,4178.85,4188.95,4156.35,2236,10581,44051508,
500421,"TPI INDIA LTD.",X,STK,15.68,16.88,15.65,15.67,15.67,16,23,1536,25311,
500422,"TRANSCHEM LTD.",XT,STK,180,180.7,173,180.7,180.7,172.1,83,6985,1260754,
500425,"AMBUJA CEMENTS LTD.",A,STK,458.65,462,456.05,458.95,458.95,458.65,3774,136285,62606003,
500426,"UTL INDUSTRIES LIMITED",X,STK,1.88,1.88,1.78,1.83,1.83,1.8,151,75163,137822,
500429,"UNIPHOS ENTERPRISES LTD.",B,STK,103.05,113,103.05,107.97,107.98,105.49,16,838,91870,
500439,"VARDHMAN HOLDINGS LTD.",B,STK,3345.2,3395.2,3330,3357.4,3353,3302.2,27,47,157737,
500440,"HINDALCO INDUSTRIES LTD.",A,STK,1035.5,1040.7,1025,1038.95,1038.95,1039.65,4883,119386,123444196,
500444,"West Coast Paper Mills Limited",B,STK,503.9,504.75,489.85,492,492.95,502.85,323,11917,5940372,
500449,"HINDUSTAN ORGANIC CHEMICALS LT",B,STK,30.19,30.9,29.5,30,30,29.52,496,92387,2791476,
500456,"PASUPATI ACRYLON LTD.",B,STK,48.84,48.84,48.3,48.75,48.75,47.73,93,3745,181427,
500458,"TEAM24 CONSUMER PRODUCTS LIMIT",X,STK,31.98,32,31.15,31.99,31.99,32,12,15398,492478,
500459,"PROCTER & GAMBLE HYGIENE & HEA",A,STK,9899.95,10039,9897,10006.55,9997,9863.35,419,900,8980463,
500460,"MUKAND LTD.",B,STK,137.6,138.55,135.5,136,136.05,136.7,173,7160,982879,
500463,"BLACK BOX LIMITED",A,STK,536,545,526.4,540.3,540.3,530.65,666,20473,10948040,
500464,"UCAL LIMITED",B,STK,99,103.4,99,100.77,100.77,99,28,979,99017,
500467,"HARRISONS MALAYALAM LTD.",B,STK,193.25,214.2,192.3,210.8,210.8,190.25,107,7644,1575074,
500469,"FEDERAL BANK LTD.",A,STK,287.95,294.15,282.8,293.7,293.9,284.3,5411,456507,132806816,
500470,"TATA STEEL LTD.",A,STK,210.7,212.4,208.45,212.05,212.05,210.7,16578,1565789,329961877,
500472,"SKF INDIA LTD.",A,STK,1689,1708.4,1680.95,1706.95,1705.4,1677.75,146,874,1478366,
500477,"ASHOK LEYLAND LTD.",A,STK,177.8,177.8,173.25,174.75,174.75,176.65,7127,600706,104962184,
500480,"CUMMINS INDIA LTD.",A,STK,5038,5179.6,5011.35,5141.75,5145,5039.05,3792,18787,96171480,
500483,"TATA COMMUNICATIONS LTD.",A,STK,1555.35,1574,1515.4,1521.05,1519,1562.35,3019,36747,56476965,
